what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226162842671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226162842765
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226162850562
activated,perspective,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugPerspective,1226162859343
activated,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.PropertySheet,1226162859343
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1226162859437
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1226162862609
executed,command,,,AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction,1226162862937
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1226162864781
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Resume,1226162864843
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.VariableView,1226162871906
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226162880156
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226162888828
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1226162888859
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226162902343
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226162913265
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1226162913781
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.DebugView,1226162924515
executed,command,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.commands.Terminate,1226162928671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226162933390
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226162935015
activated,view,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui.VariableView,1226162951406
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1226162978843
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1226162980156
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1226162985562
